[-0.0382722  -0.2460079  -0.16778038 -0.12365497 -0.06288817 -0.19165122
 -0.05566547 -0.18664466 -0.17189318 -0.15786813 -0.21598515 -0.22562816
 -0.24848248 -0.19285037 -0.21391748 -0.23757679 -0.0671883  -0.04748381
 -0.15135693 -0.06086558 -0.03937348 -0.09441027 -0.00073145 -0.01161507
 -0.12405682 -0.23354716 -0.03786037 -0.22956547 -0.07347479 -0.03652706
 -0.20446985 -0.2046923  -0.12138755 -0.21826602 -0.1338364  -0.01877262
 -0.16972513 -0.00812518 -0.06443813 -0.13464839 -0.13995174 -0.05861974
 -0.09424476 -0.23607055 -0.0812002  -0.07071462 -0.21745101 -0.0280455
 -0.00681019 -0.22756405 -0.07097355 -0.12201689 -0.10114881 -0.20608476
 -0.00901931 -0.12181213 -0.12272531 -0.14083063 -0.20236244 -0.22121884
 -0.18703279 -0.20271448 -0.18469451 -0.1340578  -0.04789781 -0.12755084
 -0.20095333 -0.16049553 -0.23718756 -0.13430838 -0.01084186 -0.0553964
 -0.0380066  -0.23228128 -0.19910437 -0.19238874 -0.04974287 -0.15810401
 -0.13499523 -0.11753447 -0.08417417],[-0.08711613 -0.20359992 -0.0816172  -0.19186105 -0.21182475 -0.05009517
 -0.08903088 -0.23705431 -0.01057199 -0.12036904 -0.14799774 -0.02190556
 -0.04885202 -0.00505342 -0.06354694 -0.02152367 -0.17826865 -0.17071805
 -0.06484792 -0.08738205 -0.05092857 -0.17234516 -0.01253423 -0.13311037
 -0.08335038 -0.09050636 -0.20094868 -0.13218209 -0.23578263 -0.08616915
 -0.09032208 -0.13437607 -0.23639302 -0.18561978 -0.14739797 -0.19650275
 -0.20889725 -0.13682797 -0.15609841 -0.24196058 -0.10771805 -0.15071026
 -0.07015525 -0.12834104 -0.06278489 -0.02212344 -0.24811644 -0.21988707
 -0.15982866 -0.19288377 -0.12463811 -0.2490283  -0.19033694 -0.00110675
 -0.17129793 -0.23864734 -0.23358906 -0.22941107 -0.08396306 -0.11426759
 -0.10360278 -0.23670779 -0.17299362 -0.14002566 -0.02010803 -0.23955709
 -0.08841108 -0.23750843 -0.15901678 -0.11196029 -0.19001139 -0.050075
 -0.16362449 -0.1059125  -0.0099118  -0.0875609  -0.00386008 -0.01152353
 -0.14658511 -0.01995061 -0.22473328],[ -1.39483514e-01  -1.86539774e-01  -2.46791439e-01  -3.56719626e-02
  -2.01299853e-01  -5.52665046e-02  -9.86058894e-02  -1.36678272e-01
  -1.66927890e-01  -1.94643811e-01  -2.74095277e-02  -2.26049900e-01
  -2.14053771e-01  -2.01921956e-01  -8.83993621e-02  -7.26681367e-02
  -1.83063794e-01  -1.77502143e-01  -2.40449869e-01  -2.21862824e-03
  -7.20320422e-02  -1.22375885e-02  -1.98790025e-01  -1.44749387e-02
  -8.50530248e-02  -2.04416663e-01  -6.10197857e-02  -5.19038895e-02
  -2.22730086e-01  -6.48438343e-02  -2.02756914e-01  -1.68414441e-01
  -7.41052510e-02  -1.85635707e-01  -1.77742315e-01  -1.51088946e-01
  -9.76650246e-03  -1.19188876e-01  -9.55645687e-02  -5.01199955e-02
  -1.86441453e-01  -1.09289102e-01  -2.33378614e-01  -2.17991481e-01
  -9.80277865e-02  -7.31357227e-02  -1.29162750e-01  -8.28667079e-02
  -2.22609484e-01  -1.83802404e-01  -5.14901307e-02  -1.89058210e-01
  -2.14845169e-01  -2.27201685e-01  -8.37039483e-02  -1.77485235e-01
  -7.59182225e-02  -2.11281197e-01  -1.02740270e-02  -2.04217010e-01
  -1.95090342e-01  -1.84610397e-02  -2.29028907e-04  -2.35345371e-01
  -9.85028412e-02  -7.97464500e-02  -1.97474373e-01  -1.31011102e-01
  -4.03700235e-02  -1.01966540e-01  -3.64748168e-03  -1.66522426e-02
  -2.14262596e-01  -1.99557661e-01  -4.88773524e-02  -1.60890477e-01
  -2.24534803e-01  -2.30828812e-01  -2.28023864e-02  -1.11873845e-04
  -1.46074822e-01],[-0.10372355 -0.13059333 -0.22996456 -0.18123285 -0.04464224 -0.23950868
 -0.00246151 -0.21397186 -0.19887692 -0.19472343 -0.15908432 -0.2445831
 -0.04436836 -0.20083805 -0.19868989 -0.0799276  -0.16015088 -0.12880596
 -0.0242691  -0.0055498  -0.1195815  -0.10417501 -0.10842682 -0.01802104
 -0.03500822 -0.22976551 -0.2175682  -0.23431696 -0.15583561 -0.17975845
 -0.0170121  -0.11975853 -0.10523937 -0.1775393  -0.08222276 -0.01840064
 -0.0584116  -0.20136891 -0.14720168 -0.02013218 -0.23457308 -0.15894028
 -0.17746553 -0.02237926 -0.14259832 -0.03601306 -0.07437287 -0.03613331
 -0.08835681 -0.10418061 -0.00708891 -0.24096219 -0.00876025 -0.10248077
 -0.17509428 -0.04931592 -0.23395595 -0.23280767 -0.07022993 -0.01395174
 -0.06906309 -0.23328615 -0.01702494 -0.15223278 -0.14577437 -0.05416757
 -0.17694096 -0.14876543 -0.20439804 -0.19464875 -0.08090308 -0.19554585
 -0.15327474 -0.19275836 -0.15606468 -0.05814693 -0.17610037 -0.18647041
 -0.14034458 -0.10476378 -0.13280082],[-0.24779616 -0.21340042 -0.07380954 -0.18219756 -0.15644622 -0.07640573
 -0.01026325 -0.05987259 -0.09507539 -0.12964293 -0.03273397 -0.16398666
 -0.13457854 -0.24471231 -0.10357108 -0.06652767 -0.23621459 -0.13318434
 -0.20356775 -0.09411284 -0.03071103 -0.1875954  -0.03273014 -0.21951606
 -0.22534046 -0.1293945  -0.22963263 -0.1591701  -0.16164759 -0.04292617
 -0.23553919 -0.24307991 -0.16888805 -0.05408665 -0.11865698 -0.19287447
 -0.11142409 -0.01135522 -0.04890742 -0.0408157  -0.21770337 -0.1015228
 -0.19894881 -0.132653   -0.01717285 -0.05651486 -0.15580347 -0.08793008
 -0.23294118 -0.15158838 -0.24143304 -0.10123991 -0.21953792 -0.16024975
 -0.22595709 -0.05854318 -0.10274512 -0.24376439 -0.12899083 -0.20997534
 -0.14499808 -0.06326899 -0.0867916  -0.22929724 -0.17806984 -0.14202399
 -0.22952483 -0.01200384 -0.10141936 -0.17526693 -0.18319594 -0.20137912
 -0.08431871 -0.01344708 -0.17334457 -0.03696816 -0.00099475 -0.17191813
 -0.2475996  -0.02622861 -0.18818614],[-0.19676522 -0.14512322 -0.13523657 -0.20551986 -0.11819973 -0.01801918
